,Make_Model,Body_Type,Price,Vat,Mileage,Type,Fuel,Gears,Age,Previous_Owners,Horsepower,Inspection_New,Gearing_Type,Displacement,Weight,Drive_Chain,Cons_Comb
0,Audi A1,Sedans,15770.0,VAT deductible,56011.45,Used,Benzine,6,3,1,66,1,Automatic,1422,1220.0,front,4.76
1,Audi A1,Sedans,24026.36,VAT deductible,80000.0,Used,Benzine,7,2,1,141,0,Automatic,999,1255.0,front,5.6
2,Audi A1,Sedans,14640.0,VAT deductible,83447.69,Used,Diesel,7,3,1,85,0,Automatic,999,1135.0,front,4.659999999999999
3,Audi A1,Sedans,16189.384,VAT deductible,72997.98,Used,Diesel,6,3,1,66,0,Automatic,999,1195.0,front,3.8
4,Audi A1,Sedans,16790.0,VAT deductible,16200.0,Used,Diesel,7,3,1,66,0,Automatic,999,1135.0,front,4.1
5,Audi A1,Sedans,15090.0,VAT deductible,63666.24,Used,Diesel,7,3,1,85,0,Automatic,999,1135.0,front,3.5
6,Audi A1,Station wagon,16422.0,VAT deductible,62109.28,Used,Diesel,7,3,1,85,0,Automatic,1598,1195.0,front,3.7
7,Audi A1,Compact,17478.329999999998,VAT deductible,14986.0,Used,Diesel,7,2,1,66,1,Automatic,1422,1180.0,front,3.7
8,Audi A1,Sedans,35418.132,VAT deductible,80565.218,Used,Benzine,7,3,1,85,0,Automatic,999,1180.0,front,4.4
9,Audi A1,Sedans,17990.0,VAT deductible,26414.26,Used,Benzine,7,3,1,81,1,Automatic,1598,1250.0,front,4.9
10,Audi A1,Sedans,29400.65,VAT deductible,31600.0,Used,Benzine,7,3,1,92,0,Automatic,999,1135.0,front,4.9
11,Audi A1,Sedans,31079.59,VAT deductible,45764.0,Used,Benzine,7,1,1,112,0,Automatic,1395,1135.0,front,4.2
12,Audi A1,Sedans,18900.0,VAT deductible,9751.73,Used,Benzine,6,1,1,85,0,Automatic,999,1135.0,front,4.4799999999999995
13,Audi A1,Sedans,31250.2,VAT deductible,13405.63,Used,Diesel,7,1,1,85,0,Automatic,1598,1175.0,front,3.8
14,Audi A1,Sedans,29592.6,VAT deductible,51158.58,Used,Diesel,7,2,1,85,0,Automatic,1422,1180.0,front,4.0
15,Audi A1,Compact,31250.2,VAT deductible,15849.56,Used,Benzine,7,3,1,92,1,Automatic,999,1065.0,front,4.34
16,Audi A1,Sedans,31925.88,VAT deductible,16999.53,Used,Diesel,6,3,2,92,0,Automatic,1598,1135.0,front,4.24
17,Audi A1,Sedans,18850.0,VAT deductible,9077.0,Used,Benzine,6,1,1,79,0,Automatic,1598,1180.0,front,3.7
18,Audi A1,Sedans,18500.0,VAT deductible,2999.91,Used,Benzine,7,1,1,70,0,Automatic,1395,1180.0,front,4.680000000000001
19,Audi A1,Sedans,16984.446000000004,Price negotiable,115000.0,Used,Benzine,6,3,1,70,0,Automatic,999,1190.0,front,4.2
20,Audi A1,Sedans,18305.82,VAT deductible,84029.0,Used,Diesel,5,3,1,70,1,Automatic,999,1630.0,front,4.2
21,Audi A1,Sedans,11300.0,VAT deductible,67798.12,Used,Benzine,5,3,1,73,0,Automatic,999,1165.0,front,4.38
22,Audi A1,Sedans,18900.0,VAT deductible,14556.0,Used,Benzine,7,1,1,66,0,Manual,999,1135.0,front,4.3
23,Audi A1,Compact,11290.0,VAT deductible,64813.87200000001,Used,Benzine,5,3,1,70,0,Manual,999,1180.0,front,3.8
24,Audi A1,Sedans,18059.48,VAT deductible,38398.94,Used,Benzine,5,3,1,66,0,Manual,999,1135.0,front,3.0
25,Audi A1,Sedans,11440.0,VAT deductible,83304.69,Used,Benzine,6,3,1,66,0,Automatic,1422,1135.0,front,3.6
26,Audi A1,Compact,11445.0,VAT deductible,39666.9,Used,Benzine,5,3,1,70,1,Manual,999,1180.0,front,4.06
27,Audi A1,Compact,11700.0,VAT deductible,30352.15,Used,Diesel,5,2,1,82,0,Manual,999,1195.0,front,3.7
28,Audi A1,Sedans,11900.0,VAT deductible,126000.0,Used,Diesel,6,3,1,66,0,Manual,999,1195.0,front,3.7
29,Audi A1,Compact,19113.62,VAT deductible,57500.0,Used,Benzine,5,3,1,70,1,Manual,999,1180.0,front,4.4
30,Audi A1,Sedans,18555.36,VAT deductible,96000.0,Used,Benzine,5,2,1,66,0,Manual,1422,1195.0,front,3.7
31,Audi A1,Sedans,19645.4,VAT deductible,110715.0,Used,Diesel,6,3,1,66,0,Manual,1422,1180.0,front,4.4
32,Audi A1,Compact,11880.0,VAT deductible,31970.11,Used,Benzine,6,3,1,60,1,Manual,999,1180.0,front,4.04
33,Audi A1,Sedans,18955.26,VAT deductible,84997.66,Used,Benzine,5,3,1,66,0,Manual,1422,1195.0,front,3.4
34,Audi A1,Compact,11490.0,VAT deductible,97973.3,Used,Benzine,5,3,1,70,0,Manual,999,1180.0,front,4.2
35,Audi A1,Compact,11500.0,VAT deductible,106000.0,Used,Benzine,6,3,1,66,0,Manual,999,1110.0,front,3.7
36,Audi A1,Compact,11790.0,VAT deductible,59998.34,Used,Diesel,5,1,1,85,0,Manual,1422,1180.0,front,4.08
37,Audi A1,Compact,19375.12,VAT deductible,78001.362,Used,Diesel,6,3,1,60,1,Manual,1422,1180.0,front,4.4
38,Audi A1,Sedans,11180.0,VAT deductible,55998.46,Used,Benzine,5,3,1,70,0,Manual,1422,1135.0,front,4.2
39,Audi A1,Sedans,11450.0,VAT deductible,27599.24,Used,Benzine,5,3,1,70,0,Manual,999,1180.0,front,4.2
40,Audi A1,Sedans,18412.28,VAT deductible,30499.16,Used,Diesel,5,3,1,66,0,Manual,1422,1195.0,front,4.180000000000001
41,Audi A1,Sedans,18579.51,VAT deductible,69498.07,Used,Diesel,6,2,1,70,0,Manual,999,1180.0,front,4.4
42,Audi A1,Compact,10950.0,VAT deductible,64757.0,Used,Benzine,6,3,1,70,0,Manual,999,1675.0,front,4.4
43,Audi A1,Compact,10800.0,VAT deductible,33999.05,Used,Benzine,5,3,2,66,0,Manual,1422,1180.0,front,3.8
44,Audi A1,Sedans,17596.488,VAT deductible,54998.47,Used,Benzine,5,3,1,70,0,Manual,999,1135.0,front,4.2
45,Audi A1,Sedans,10800.0,VAT deductible,51949.978,Used,Benzine,5,3,1,66,0,Manual,999,1135.0,front,3.7
46,Audi A1,Compact,10000.0,VAT deductible,73896.106,Used,Diesel,6,3,1,85,1,Manual,1422,1180.0,front,3.9
47,Audi A1,Compact,10490.0,VAT deductible,129996.41,Used,Benzine,5,3,1,66,1,Manual,999,1180.0,front,4.44
48,Audi A1,Compact,30232.44,VAT deductible,41294.0,Used,Benzine,6,3,1,71,0,Manual,999,1180.0,front,4.4
49,Audi A1,Sedans,30232.44,VAT deductible,64000.0,Used,Benzine,7,1,1,85,0,Manual,999,1135.0,front,4.2
50,Audi A1,Sedans,18900.0,Price negotiable,4249.89,Used,Benzine,6,2,1,70,0,Manual,1422,1165.0,front,4.4
51,Audi A1,Sedans,18890.0,Price negotiable,2949.0,Used,Benzine,6,1,1,70,0,Manual,999,1110.0,front,4.4
52,Audi A1,Sedans,30216.44,VAT deductible,51037.712,Used,Benzine,6,2,1,71,0,Manual,1422,1205.0,front,5.0
53,Audi A1,Sedans,30200.45,VAT deductible,5108.0,Used,Benzine,6,2,1,70,1,Manual,999,1135.0,front,4.06
54,Audi A1,Sedans,31892.1,VAT deductible,11335.0,Used,Diesel,7,2,1,70,0,Manual,1598,1180.0,front,4.4
55,Audi A1,Compact,18880.0,VAT deductible,6396.0,Used,Benzine,7,1,1,70,0,Manual,999,1180.0,front,4.4
56,Audi A1,Compact,31892.1,VAT deductible,47800.0,Used,Benzine,6,3,1,87,1,Automatic,999,1065.0,front,3.8
57,Audi A1,Sedans,18880.0,VAT deductible,7021.0,Used,Diesel,7,1,1,70,0,Automatic,999,1720.0,front,4.4
58,Audi A1,Sedans,31892.1,VAT deductible,34682.44,Used,Benzine,7,3,1,92,1,Manual,999,1135.0,front,5.2
59,Audi A1,Sedans,31841.42,VAT deductible,7672.0,Used,Benzine,7,1,1,85,0,Automatic,999,1180.0,front,3.7
60,Audi A1,Sedans,29592.6,VAT deductible,13406.0,Used,Benzine,6,1,1,85,0,Automatic,999,1135.0,front,3.8
61,Audi A1,Compact,30184.45,VAT deductible,12572.766,Used,Benzine,7,1,1,70,1,Automatic,999,1180.0,front,5.6
62,Audi A1,Sedans,29587.8,VAT deductible,40488.0,Used,Benzine,5,3,1,85,1,Automatic,999,1165.0,front,4.92
63,Audi A1,Sedans,18490.0,VAT deductible,24200.0,Employee's car,Benzine,6,1,1,66,0,Automatic,999,1135.0,front,4.1
64,Audi A1,Compact,31233.31,VAT deductible,26500.0,Used,Benzine,7,2,2,66,1,Automatic,999,1135.0,front,4.0
65,Audi A1,Compact,18094.451999999997,VAT deductible,58806.0,Used,Benzine,7,3,1,71,0,Automatic,1598,1180.0,front,4.48
66,Audi A1,Compact,18500.0,VAT deductible,34168.918,Used,Benzine,7,3,1,85,0,Automatic,929,1180.0,front,3.8
67,Audi A1,Compact,18490.0,VAT deductible,16699.55,Used,Benzine,7,2,1,92,0,Automatic,1395,1180.0,front,4.4399999999999995
68,Audi A1,Sedans,29560.61,VAT deductible,15093.0,Used,Benzine,7,3,1,92,0,Automatic,1395,1135.0,front,4.9
69,Audi A1,Sedans,29503.02,VAT deductible,45087.332,Used,Benzine,7,3,1,92,0,Automatic,999,1630.0,front,4.9
70,Audi A1,Sedans,18400.0,VAT deductible,14770.0,Used,Benzine,6,1,1,85,0,Automatic,1598,1135.0,front,4.38
71,Audi A1,Compact,31925.88,VAT deductible,12414.66,Used,Benzine,7,0,1,85,0,Automatic,999,1180.0,front,4.0
72,Audi A1,Compact,18900.0,VAT deductible,26063.27,Used,Diesel,7,1,2,85,0,Automatic,999,1180.0,front,4.46
73,Audi A1,Compact,18900.0,VAT deductible,16499.54,Used,Diesel,6,1,1,85,0,Automatic,1422,1195.0,front,4.0
74,Audi A1,Compact,18900.0,VAT deductible,9000.0,Used,Diesel,7,3,1,92,0,Automatic,1422,1180.0,front,4.9
75,Audi A1,Compact,18900.0,VAT deductible,12402.0,Used,Benzine,7,1,1,85,0,Automatic,999,1065.0,front,4.0
76,Audi A1,Sedans,22315.8,VAT deductible,14702.0,Used,Diesel,7,1,1,85,0,Automatic,1598,1180.0,front,4.0
77,Audi A1,Sedans,18900.0,Price negotiable,14522.6,Used,Benzine,7,1,1,85,0,Automatic,1395,1215.0,front,4.0
78,Audi A1,Compact,30232.44,VAT deductible,9579.73,Used,Benzine,5,1,1,85,0,Automatic,1395,1180.0,front,3.5
79,Audi A1,Sedans,18900.0,VAT deductible,10450.0,Used,Diesel,5,1,1,85,0,Automatic,1422,1135.0,front,3.5
80,Audi A1,Compact,18900.0,VAT deductible,10273.0,Used,Benzine,5,1,1,85,0,Automatic,999,1180.0,front,4.159999999999999
81,Audi A1,Sedans,30232.44,VAT deductible,9465.74,Used,Diesel,5,1,1,85,0,Automatic,1598,1135.0,front,3.5
82,Audi A1,Sedans,30232.44,VAT deductible,18970.48,Used,Diesel,6,1,1,85,0,Automatic,1598,1275.0,front,3.7
83,Audi A1,Sedans,27084.202,VAT deductible,31877.0,Used,Diesel,7,1,1,70,0,Automatic,1598,1275.0,front,4.5
84,Audi A1,Sedans,30232.44,VAT deductible,9878.0,Employee's car,Diesel,5,1,1,85,0,Automatic,999,1275.0,front,3.5
85,Audi A1,Sedans,27084.202,Price negotiable,17534.51,Used,Benzine,7,1,1,70,0,Automatic,1395,1180.0,front,4.6
86,Audi A1,Sedans,18915.3,VAT deductible,76261.89,Used,Benzine,7,3,1,92,0,Automatic,1598,1275.0,front,5.1
87,Audi A1,Sedans,18850.0,VAT deductible,19648.268,Used,Diesel,6,1,1,70,0,Automatic,1598,1275.0,front,4.4399999999999995
88,Audi A1,Sedans,18850.0,VAT deductible,21275.0,Employee's car,Diesel,7,3,1,92,1,Automatic,1598,1275.0,front,4.34
89,Audi A1,Sedans,31841.42,VAT deductible,12261.0,Used,Diesel,7,1,1,66,0,Automatic,1598,1275.0,front,3.9
90,Audi A1,Sedans,18840.0,VAT deductible,3620.0,Used,Benzine,7,1,1,70,0,Automatic,1598,1175.0,front,4.08
91,Audi A1,Sedans,29992.5,VAT deductible,20306.0,Used,Benzine,5,1,1,70,0,Automatic,999,1175.0,front,4.0200000000000005
92,Audi A1,Sedans,29960.51,VAT deductible,1.0,Used,Diesel,7,0,1,85,0,Automatic,1598,1180.0,front,4.78
93,Audi A1,Sedans,18700.0,VAT deductible,27000.0,Used,Diesel,6,1,1,85,0,Automatic,999,1175.0,front,3.7
94,Audi A1,Compact,29896.52,VAT deductible,31749.12,Used,Benzine,6,3,1,92,1,Automatic,999,1180.0,front,4.34
95,Audi A1,Sedans,18500.0,VAT deductible,51998.56,Used,Diesel,7,3,1,85,0,Manual,1598,1175.0,front,4.0
96,Audi A1,Sedans,31250.2,VAT deductible,8290.168,Used,Diesel,7,1,1,70,0,Automatic,1598,1200.0,front,4.4
97,Audi A1,Compact,31452.9,VAT deductible,25977.0,Used,Benzine,6,3,1,92,1,Automatic,999,1165.0,front,5.0
98,Audi A1,Sedans,23092.608,VAT deductible,8999.75,Used,Diesel,7,2,1,70,0,Automatic,1598,1175.0,front,4.4
99,Audi A1,Compact,18500.0,VAT deductible,64998.19,Used,Benzine,7,1,1,66,0,Automatic,999,1180.0,front,3.8
100,Audi A1,Compact,29592.6,VAT deductible,31729.340000000004,Used,Benzine,7,2,1,92,0,Automatic,1395,1115.0,front,3.8200000000000003
101,Audi A1,Compact,29351.06,VAT deductible,7307.0,Used,Benzine,7,2,1,70,0,Automatic,999,1180.0,front,3.9200000000000004
102,Audi A1,Sedans,18333.0,VAT deductible,4800.0,Used,Benzine,7,1,1,70,0,Automatic,1395,1135.0,front,4.4
103,Audi A1,Sedans,29325.47,VAT deductible,5500.0,Used,Diesel,7,1,1,70,1,Automatic,999,1665.0,front,4.68
104,Audi A1,Sedans,18300.0,VAT deductible,35499.02,Used,Benzine,7,1,1,66,0,Automatic,999,1180.0,front,4.0
105,Audi A1,Sedans,18250.0,VAT deductible,14550.6,Used,Diesel,7,1,1,85,0,Automatic,1598,1250.0,front,4.380000000000001
106,Audi A1,Sedans,18200.0,VAT deductible,16500.0,Employee's car,Benzine,6,1,1,85,0,Automatic,999,1165.0,front,4.32
107,Audi A1,Compact,18185.0,VAT deductible,26699.27,New,Benzine,7,3,1,85,1,Automatic,999,1180.0,front,3.8
